iter	Passed	Remaining
0	270	270616
1	408	203987
2	481	160121
3	605	150741
4	679	135254
5	795	131809
6	904	128257
7	1000	124111
8	1146	126261
9	1275	126225
10	1382	124280
11	1501	123637
12	1628	123651
13	1741	122650
14	1855	121815
15	1929	118692
16	2063	119345
17	2119	115631
18	2219	114587
19	2343	114813
20	2456	114530
21	2547	113262
22	2667	113309
23	2777	112939
24	2851	111208
25	2949	110510
26	3056	110156
27	3187	110660
28	3259	109125
29	3364	108799
30	3495	109252
31	3566	107890
32	3672	107624
33	3804	108089
34	3859	106418
35	3969	106289
36	4092	106522
37	4220	106833
38	4327	106634
39	4451	106830
40	4580	107132
41	4674	106615
42	4777	106331
43	4858	105561
44	4979	105668
45	5087	105506
46	5215	105749
47	5317	105454
48	5411	105019
49	5515	104791
50	5644	105025
51	5772	105235
52	5871	104907
53	6018	105436
54	6125	105251
55	6264	105597
56	6360	105229
57	6467	105041
58	6594	105177
59	6735	105521
60	6811	104855
61	6917	104650
62	7010	104260
63	7127	104242
64	7238	104126
65	7346	103969
66	7507	104539
67	7628	104550
68	7743	104486
69	7859	104420
70	7958	104138
71	8108	104514
72	8164	103673
73	8278	103595
74	8376	103313
75	8508	103443
76	8627	103418
77	8745	103370
78	8867	103375
79	9012	103648
80	9101	103259
81	9234	103384
82	9375	103577
83	9443	102984
84	9572	103048
85	9686	102942
86	9784	102678
87	9913	102734
88	10035	102720
89	10164	102779
90	10254	102434
91	10340	102056
92	10439	101813
93	10549	101682
94	10620	101178
95	10745	101187
96	10890	101378
97	11007	101313
98	11074	100786
99	11210	100890
100	11324	100799
101	11443	100747
102	11556	100638
103	11655	100415
104	11752	100176
105	11850	99944
106	11925	99525
107	12019	99274
108	12137	99216
109	12236	99002
110	12333	98779
111	12436	98603
112	12553	98542
113	12675	98510
114	12763	98222
115	12898	98297
116	12991	98044
117	13104	97952
118	13224	97902
119	13289	97453
120	13424	97523
121	13541	97453
122	13669	97468
123	13777	97333
124	13893	97255
125	13959	96830
126	14020	96374
127	14144	96359
128	14251	96225
129	14313	95790
130	14445	95825
131	14554	95708
132	14700	95831
133	14803	95669
134	14936	95701
135	15037	95534
136	15147	95420
137	15276	95419
138	15405	95424
139	15483	95114
140	15607	95083
141	15696	94842
142	15787	94613
143	15916	94617
144	16046	94617
145	16145	94441
146	16291	94534
147	16365	94209
148	16487	94167
149	16595	94040
150	16725	94036
151	16799	93724
152	16901	93567
153	16978	93271
154	17085	93141
155	17188	92993
156	17282	92795
157	17387	92661
158	17512	92626
159	17611	92461
160	17731	92403
161	17837	92272
162	17958	92217
163	18070	92114
164	18152	91861
165	18225	91566
166	18336	91462
167	18486	91551
168	18587	91399
169	18662	91115
170	18798	91134
171	18942	91187
172	19072	91172
173	19138	90852
174	19253	90768
175	19384	90752
176	19445	90414
177	19507	90085
178	19623	90003
179	19723	89849
180	19839	89772
181	19956	89692
182	20063	89573
183	20188	89531
184	20294	89406
185	20367	89135
186	20489	89082
187	20601	88980
188	20722	88918
189	20817	88748
190	20889	88478
191	20988	88325
192	21101	88234
193	21180	87996
194	21305	87953
195	21427	87897
196	21542	87811
197	21651	87698
198	21756	87572
199	21880	87523
200	21978	87365
201	22066	87173
202	22190	87122
203	22316	87077
204	22434	87002
205	22538	86870
206	22615	86637
207	22704	86450
208	22818	86362
209	22900	86151
210	22963	85866
211	23118	85930
212	23200	85723
213	23338	85721
214	23414	85491
215	23541	85447
216	23661	85377
217	23775	85288
218	23916	85289
219	24028	85190
220	24152	85134
221	24273	85066
222	24400	85019
223	24525	84962
224	24651	84909
225	24761	84802
226	24866	84678
227	24997	84641
228	25120	84575
229	25229	84464
230	25354	84404
231	25446	84237
232	25560	84142
233	25684	84077
234	25809	84017
235	25871	83754
236	25984	83653
237	26102	83572
238	26190	83393
239	26329	83378
240	26449	83300
241	26564	83204
242	26711	83212
243	26809	83066
244	26917	82949
245	27042	82887
246	27187	82883
247	27341	82907
248	27433	82740
249	27555	82666
250	27662	82546
251	27789	82485
252	27912	82413
253	28026	82315
254	28178	82324
255	28287	82211
256	28380	82049
257	28499	81963
258	28625	81898
259	28720	81742
260	28786	81506
261	28859	81292
262	28981	81214
263	29116	81173
264	29215	81030
265	29342	80968
266	29475	80919
267	29598	80844
268	29722	80769
269	29847	80700
270	29952	80573
271	30016	80339
272	30127	80230
273	30260	80178
274	30333	79970
275	30456	79892
276	30595	79858
277	30707	79750
278	30811	79624
279	30945	79574
280	31083	79535
281	31222	79495
282	31327	79369
283	31420	79215
284	31554	79163
285	31684	79099
286	31778	78947
287	31889	78838
288	32010	78751
289	32137	78681
290	32258	78596
291	32390	78536
292	32529	78492
293	32632	78362
294	32737	78237
295	32888	78221
296	33024	78169
297	33125	78034
298	33257	77971
299	33346	77809
300	33458	77698
301	33569	77588
302	33684	77484
303	33795	77374
304	33891	77227
305	34013	77140
306	34140	77066
307	34244	76940
308	34362	76842
309	34475	76734
310	34585	76622
311	34687	76490
312	34821	76429
313	34925	76302
314	35045	76209
315	35109	75997
316	35207	75856
317	35318	75745
318	35416	75607
319	35547	75538
320	35622	75350
321	35745	75264
322	35844	75129
323	35971	75052
324	36111	75001
325	36255	74957
326	36353	74818
327	36461	74701
328	36565	74576
329	36663	74437
330	36810	74398
331	36923	74292
332	37034	74180
333	37114	74007
